"name","best","seed"
"ta081",367157,1443854429
"ta082",373987,952678081
"ta083",370902,3765318229
"ta084",371635,3733545498
"ta085",370411,1729021017
"ta086",373500,1014402382
"ta087",373393,2152251540
"ta088",382946,1350495348
"ta089",375112,2270561042
"ta090",379836,3603726229
"ta091",1047811,276775428
"ta092",1042760,3607901274
"ta093",1052472,2733442113
"ta094",1034334,4281722583
"ta095",1037522,1614937988
"ta096",1009557,2877417474
"ta097",1057711,4188561941
"ta098",1045560,3405167963
"ta099",1026406,1532325782
"ta100",1032466,3773416378
"ta101",1228209,3203608148
"ta102",1237612,4095471546
"ta103",1260721,3091580948
"ta104",1239830,2763673144
"ta105",1223806,1095638231
"ta106",1224311,3150420927
"ta107",1246918,1750352097
"ta108",1247104,2579152323
"ta109",1228235,1231709418
"ta110",1250380,4097796448
"ta111",6702074,3505269080
"ta112",6825694,2467997260
"ta113",6743905,1884962093
"ta114",6790129,3458346494
"ta115",6740721,4239102401
"ta116",6720699,2511617068
"ta117",6679909,213749216
"ta118",6770989,3138793654
"ta119",6701060,2061185404
"ta120",6747325,1141330486
"ta001",14002,2891131265
"ta002",15151,1181108007
"ta003",12956,3111453733
"ta004",15412,2663293684
"ta005",13472,939004928
"ta006",13072,928720169
"ta007",13479,3312073411
"ta008",13882,3000405112
"ta009",14169,356271760
"ta010",12907,550226103
"ta011",20650,3382989934
"ta012",22374,2990402098
"ta013",19548,2824227340
"ta014",18483,3908280195
"ta015",18343,3177361867
"ta016",18998,2084745033
"ta017",18073,656825462
"ta018",19880,2063527406
"ta019",20106,3227167789
"ta020",21066,1199159403
"ta021",33540,584730350
"ta022",31291,3873263512
"ta023",33246,923293453
"ta024",31029,913280522
"ta025",34205,633158282
"ta026",32085,221556418
"ta027",32751,1614628938
"ta028",32141,2282676090
"ta029",33219,3941093080
"ta030",31776,371767043
"ta031",64798,699764977
"ta032",68090,898055400
"ta033",63218,3637546164
"ta034",68276,4077929238
"ta035",69302,282959956
"ta036",66821,3447456775
"ta037",66232,1486384690
"ta038",64402,664302438
"ta039",62971,278481278
"ta040",68835,3780245647
"ta041",86851,1237653438
"ta042",82997,3848341229
"ta043",79907,536410298
"ta044",86407,726992537
"ta045",85935,1969066243
"ta046",86300,195734666
"ta047",88869,485771117
"ta048",86916,1848177156
"ta049",85572,2724016623
"ta050",88075,4129689556
"ta051",124346,1993977778
"ta052",117688,2748397388
"ta053",115798,3077477611
"ta054",119928,1455100825
"ta055",117658,2329495568
"ta056",119654,2758196050
"ta057",122582,156513470
"ta058",121164,3194151131
"ta059",121560,2644288131
"ta060",123715,4172829928
"ta061",254575,1624920788
"ta062",243596,1151822659
"ta063",239085,1002812987
"ta064",228603,2402822376
"ta065",241328,3488503263
"ta066",233266,3845780852
"ta067",241220,918556914
"ta068",231852,546222449
"ta069",248328,4212680459
"ta070",243937,3490387722
"ta071",300476,785217
"ta072",275732,741927894
"ta073",288314,2095729191
"ta074",303831,801605926
"ta075",284288,1690920405
"ta076",271386,3454380865
"ta077",280053,2451746234
"ta078",291969,1367686260
"ta079",302408,3745589182
"ta080",292811,3775794776
"ta081",366335,906702023
"ta082",372973,3202446415
"ta083",370969,3170424416
"ta084",372936,3350587719
"ta085",370283,2874770992
"ta086",372146,781344135
"ta087",375861,2771790421
"ta088",385913,3599999176
"ta089",377262,1917885875
"ta090",377078,173132875
"ta091",1049583,696552500
"ta092",1041962,1756864165
"ta093",1049652,2972417673
"ta094",1034637,1355912913
"ta095",1036341,353071292
"ta096",1013388,33428189
"ta097",1059124,3448328617
"ta098",1044456,1022929116
"ta099",1025213,3225717450
"ta100",1035937,1906717900
"ta101",1223668,1840400351
"ta102",1243571,3376552227
"ta103",1268689,1844143711
"ta104",1242492,2939074085
"ta105",1224619,1302647233
"ta106",1223797,4132929855
"ta107",1245477,883855905
"ta108",1246825,767022754
"ta109",1229371,51344063
"ta110",1246984,2138522791
"ta111",6701353,1287664720
